sampleID,project,turfID,rep,day,dna.rna,pairedSampleID,bottleID,site,temperature,precipitation,precip.level,temp.level,turf.treat,turf.treat.group,turf.origSite,origSite.precipLevel,origSite.tempLevel,exp.moisture.level,exp.temp,colour,transcol
F03,ST,NA,A,35,DNA,NA,UH10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
F04,ST,NA,B,35,DNA,NA,UH10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
F05,ST,NA,A,35,DNA,NA,SH10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
F06,ST,NA,B,35,DNA,NA,SH10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
F07,ST,NA,A,35,DNA,NA,UL10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
F08,ST,NA,B,35,DNA,NA,UL10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
F09,ST,NA,A,35,DNA,NA,SL10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
F10,ST,NA,B,35,DNA,NA,SL10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
F11,ST,NA,A,35,DNA,NA,SM10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,2,10,6,NA
F12,ST,NA,B,35,DNA,NA,SM10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,2,10,6,NA
F13,LT,NA,A,35,DNA,NA,LM10_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,2,10,4,NA
F14,LT,NA,B,35,DNA,NA,LM10_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,2,10,4,NA
F15,LT,NA,A,35,DNA,NA,LH10_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,3,10,4,NA
F16,LT,NA,B,35,DNA,NA,LH10_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,3,10,4,NA
F17,LT,NA,A,35,DNA,NA,GH10_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,10,8,NA
F18,LT,NA,B,35,DNA,NA,GH10_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,10,8,NA
F19,LT,NA,A,35,DNA,NA,LL10_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,1,10,4,NA
F20,LT,NA,B,35,DNA,NA,LL10_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,1,10,4,NA
F21,LT,NA,A,35,DNA,NA,GL10_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,10,8,NA
F22,LT,NA,B,35,DNA,NA,GL10_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,10,8,NA
F23,LT,NA,A,35,DNA,NA,GM10_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,10,8,NA
F24,LT,NA,B,35,DNA,NA,GM10_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,10,8,NA
G01,ST,NA,C,1,DNA,R9,SL10_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
G02,ST,NA,C,1,DNA,R10,SH20_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
G03,ST,NA,C,1,DNA,R11,SH10_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
G04,ST,NA,A,1,DNA,R12,SL20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
