Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
G12,22169,22166,2096,2093,1151.36491341282,6.71085771553373,0.877490253474633,0.952069811403476,0.996610675250702
H01,25102,25067,3548,3513,1485.4393469874,7.14066804790564,0.873568182275415,0.977709512283334,0.997268507250358
H02,18973,18958,3156,3141,1474.59903183385,7.09516357699368,0.8806143899195,0.972454232821891,0.997397603430101
H03,26900,26877,3463,3440,1409.05569410087,7.02145876770908,0.861540253756122,0.968386906103664,0.996902743190393
H04,28076,28055,3709,3688,1441.65359792606,7.09181815179654,0.862907219572169,0.975015224733852,0.997245625671439
H05,23438,23429,3149,3140,1384.30164870467,7.00129720353775,0.869203734817316,0.967972427710132,0.997088629165592
H06,21657,21632,3211,3186,1430.21002327004,7.04396737594787,0.87238949407629,0.969498744739153,0.997154127918493
H07,25087,25068,3468,3449,1458.66036962279,7.07284819086911,0.867692179631914,0.970841789176942,0.996778615051502
H08,20404,20378,3334,3308,1512.38172626409,7.17282805251997,0.884232206762507,0.979701682082454,0.99750937262168
H09,27145,27120,3577,3552,1449.94303205482,7.10331437209182,0.868133894030747,0.975826567287163,0.997119831651181
H10,20133,20119,3139,3125,1455.01090586335,7.08791802657204,0.880305231056253,0.973244976307894,0.997264303246176
H12,23706,23685,3404,3383,1448.45226402699,7.09845145355703,0.872827694267958,0.975296343711515,0.997264380901483
H13,26373,26357,2979,2963,1293.94962239912,6.82003799310835,0.852574771881117,0.951794188707102,0.99576548347136
H14,20324,20316,2692,2684,1302.61786318632,6.81996875103336,0.863501453279365,0.950898485299771,0.996009015298358
H15,24171,24163,2796,2788,1254.21278436346,6.74998606313359,0.85055856299725,0.946136369364558,0.995480437030203
H16,20735,20727,2667,2659,1281.79983437926,6.78840852018627,0.860522053623234,0.948628994258021,0.996084867378948
H17,25991,25986,2849,2844,1239.26886845374,6.74951300250928,0.848491232025394,0.947662262057969,0.99593532405458
H18,24718,24706,2837,2825,1242.81062773717,6.74511602600987,0.848388649813933,0.946665581674783,0.995723067799568
H19,22437,22437,1883,1883,1059.27790157923,6.46464454769332,0.857309244751945,0.928115786723762,0.994752921199519
H20,21610,21606,2598,2594,1202.33925558114,6.67138610400125,0.848507279131514,0.940688554494645,0.995657189918202
H21,25910,25903,2745,2738,1209.23892003238,6.68951980999566,0.844899159403757,0.942485034944221,0.995581585218912
H22,24397,24393,2579,2575,1162.33473913656,6.58549797212903,0.838366179975563,0.933029818494072,0.99524724408645
H23,26117,26107,2640,2630,1181.59495866262,6.62524543177593,0.840923611783216,0.936480686823925,0.995437889542534
H24,23885,23880,2556,2551,1161.52230126973,6.58590683071558,0.839375471560499,0.933180190306051,0.995308464881419
I01,26325,26323,2155,2153,972.274500350336,6.23265653648504,0.812014745846649,0.905957025694587,0.993265493335642
I02,17894,17892,1747,1745,905.990108581878,6.06388414885748,0.812237358537866,0.890565261744851,0.992038626083743
I03,19387,19387,1521,1521,860.795426042369,6.01575698520492,0.821025762124167,0.890187095669996,0.991549298262866
I04,20322,20311,2032,2021,1020.65125063996,6.36633654948895,0.835830896088418,0.918902464771385,0.994326410241427
I05,25756,25749,2346,2339,1083.41473696952,6.5791001883819,0.847771166814524,0.941502524456507,0.996254910159425
I06,19265,19263,2090,2088,1079.85011954785,6.5490542060657,0.856654453834653,0.937645000830468,0.996167941645237
I07,23709,23688,2901,2880,1290.9749600857,6.85965166579298,0.860380592432297,0.957630204278688,0.996669469056372
I08,22800,22797,2769,2766,1260.99033426231,6.80093672042291,0.858027944334219,0.952558483445414,0.996360718682672
I09,26872,26862,3173,3163,1387.37005121629,7.07906825881453,0.878031289290838,0.978425243700814,0.997723412242848
I10,21044,21030,2893,2879,1357.78308898698,7.04153394785783,0.883499421196982,0.976145833584339,0.997805319768636
I11,27853,27851,2107,2105,1145.78900369901,6.76611854885295,0.88411087165644,0.960571240908897,0.997396715582974
I12,20893,20874,2876,2857,1354.28981095377,7.01897346288366,0.881320470201098,0.973365948768135,0.997701798628444
I13,24575,24570,2823,2818,1252.19914900154,6.80436326839698,0.856373519741797,0.953973203316609,0.996668946867863
I14,21468,21457,2730,2719,1282.63841638884,6.87228250678111,0.868583555945942,0.960261991582921,0.997042213335475
I15,25740,25729,3109,3098,1360.91796945228,7.03073174262932,0.874245514348233,0.97433686609252,0.997659700223803
I16,21789,21777,2863,2851,1344.49449904433,7.00760980236337,0.880394432370456,0.972769329152522,0.997764319160818
I17,23060,23049,2838,2827,1344.15884321528,7.01233837446575,0.881960304891873,0.973459471435765,0.997755728297311
I18,19570,19564,2847,2841,1373.44045095757,7.0315379008988,0.884023039886744,0.973213250962359,0.99777130638832
I19,19164,19161,1455,1452,856.627122707371,6.10025292378072,0.837629131772667,0.903339324680679,0.993992292565188
I20,16915,16913,1820,1818,979.215683434284,6.2655912645757,0.834678566271599,0.909803537268581,0.994649818793678
